State,Count,Revenue
AK,0,0
AL,0,0
AR,0,0
AZ,1,40000000
CA,73,21408365512
CO,0,0
CT,0,0
DC,1,40000000
DE,0,0
FL,0,0
GA,1,40000000
HI,0,0
IA,0,0
ID,0,0
IL,0,0
IN,0,0
KS,0,0
KY,0,0
LS,0,0
MA,1,40000000
MD,1,40000000
ME,0,0
MI,0,0
MN,0,0
MO,0,0
MS,0,0
MT,0,0
NC,0,0
ND,0,0
NE,0,0
NH,0,0
NJ,1,40000000
NM,0,0
NV,0,0
NY,13,5042609714
OH,0,0
OK,0,0
OR,0,0
PA,0,0
RI,0,0
SC,0,0
SD,0,0
TN,0,0
TX,0,0
UT,0,0
VA,0,0
VT,0,0
WA,8,2753800000
WI,0,0
WV,0,0
WY,0,0
